folder,target,fault_type,num,anomaly_score_new,anomaly_nodes
1,orders,orders_carts,3,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'orders', 'payment', 'carts'}"
,,,,,
1,user,orders_carts,6,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts,orders_carts,2,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751)]","{'orders', 'payment', 'carts'}"
,,,,,
1,payment,orders_carts,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,shipping,orders_carts,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,orders-db,orders_carts,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts-db,orders_carts,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,rabbitmq,orders_carts,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,orders,front-end_orders,3,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'orders', 'payment', 'carts'}"
,,,,,
1,user,front-end_orders,6,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts,front-end_orders,2,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751)]","{'orders', 'payment', 'carts'}"
,,,,,
1,payment,front-end_orders,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,shipping,front-end_orders,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,orders-db,front-end_orders,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts-db,front-end_orders,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,rabbitmq,front-end_orders,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,orders,orders_payment,3,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'orders', 'payment', 'carts'}"
,,,,,
1,user,orders_payment,6,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts,orders_payment,2,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751)]","{'orders', 'payment', 'carts'}"
,,,,,
1,payment,orders_payment,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,shipping,orders_payment,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,orders-db,orders_payment,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts-db,orders_payment,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,rabbitmq,orders_payment,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,orders,orders_shipping,3,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'orders', 'payment', 'carts'}"
,,,,,
1,user,orders_shipping,6,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts,orders_shipping,2,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751)]","{'orders', 'payment', 'carts'}"
,,,,,
1,payment,orders_shipping,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,shipping,orders_shipping,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'orders', 'payment', 'shipping', 'carts'}"
,,,,,
1,orders-db,orders_shipping,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,carts-db,orders_shipping,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,rabbitmq,orders_shipping,10,"[('front-end', 0.33079713133403643), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'payment', 'carts'}"
,,,,,
1,orders,orders_carts,3,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'payment', 'orders', 'carts'}"
,,,,,
1,user,orders_carts,6,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts,orders_carts,2,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751)]","{'payment', 'orders', 'carts'}"
,,,,,
1,payment,orders_carts,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,shipping,orders_carts,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,orders-db,orders_carts,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts-db,orders_carts,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,rabbitmq,orders_carts,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,orders,front-end_orders,3,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'payment', 'orders', 'carts'}"
,,,,,
1,user,front-end_orders,6,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts,front-end_orders,2,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751)]","{'payment', 'orders', 'carts'}"
,,,,,
1,payment,front-end_orders,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,shipping,front-end_orders,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,orders-db,front-end_orders,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts-db,front-end_orders,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,rabbitmq,front-end_orders,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,orders,orders_payment,3,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'payment', 'orders', 'carts'}"
,,,,,
1,user,orders_payment,6,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts,orders_payment,2,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751)]","{'payment', 'orders', 'carts'}"
,,,,,
1,payment,orders_payment,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,shipping,orders_payment,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,orders-db,orders_payment,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts-db,orders_payment,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,rabbitmq,orders_payment,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,orders,orders_shipping,3,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387)]","{'payment', 'orders', 'carts'}"
,,,,,
1,user,orders_shipping,6,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts,orders_shipping,2,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751)]","{'payment', 'orders', 'carts'}"
,,,,,
1,payment,orders_shipping,5,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688), ('carts', 0.12558978912918303), ('payment', 0.07192726046113317)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,shipping,orders_shipping,3,"[('front-end', 0.30648219489392997), ('orders', 0.297768114980807), ('shipping', 0.19823264053494688)]","{'shipping', 'payment', 'orders', 'carts'}"
,,,,,
1,orders-db,orders_shipping,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,carts-db,orders_shipping,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,rabbitmq,orders_shipping,10,"[('front-end', 0.3307971313340365), ('carts', 0.2610499962517751), ('orders', 0.2586454068473387), ('payment', 0.14950746556684985), ('shipping', 0.0), ('user', 0.0)]","{'payment', 'orders', 'carts'}"
,,,,,
1,orders,orders_carts,3,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,user,orders_carts,6,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts,orders_carts,2,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,payment,orders_carts,5,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289), ('payment', 0.004983434006252792)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,shipping,orders_carts,4,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,orders-db,orders_carts,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts-db,orders_carts,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,rabbitmq,orders_carts,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,orders,front-end_orders,3,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,user,front-end_orders,6,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts,front-end_orders,2,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,payment,front-end_orders,5,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289), ('payment', 0.004983434006252792)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,shipping,front-end_orders,4,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,orders-db,front-end_orders,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts-db,front-end_orders,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,rabbitmq,front-end_orders,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,orders,orders_payment,3,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,user,orders_payment,6,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts,orders_payment,2,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,payment,orders_payment,5,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289), ('payment', 0.004983434006252792)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,shipping,orders_payment,4,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,orders-db,orders_payment,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts-db,orders_payment,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,rabbitmq,orders_payment,10,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,orders,orders_shipping,3,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,user,orders_shipping,6,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123), ('orders', 0.06200314570069534), ('payment', 0.00599034873182607), ('shipping', 0.0), ('user', 0.0)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,carts,orders_shipping,2,"[('front-end', 0.436017745908461), ('carts', 0.0900531517369123)]","{'orders', 'carts', 'catalogue', 'payment'}"
,,,,,
1,payment,orders_shipping,5,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289), ('payment', 0.004983434006252792)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
1,shipping,orders_shipping,4,"[('front-end', 0.4129014426517111), ('orders', 0.11060829947853675), ('carts', 0.07491616245172582), ('shipping', 0.05888856702114289)]","{'orders', 'carts', 'shipping', 'catalogue', 'payment'}"
,,,,,
